Categoria;Criticidade;Impacto Financeiro;impacto em negócios;Impacto cliente;OKR;Item;Horas;Estimado em QP?;;
Iniciativa;1;Sim;Sim;Sim;Sim;URA Contestação;120;Sim;;
Iniciativa;1;Sim;Sim;Sim;Sim;URA Listagem de promo voucher retenção;160;Sim;;
Iniciativa;1;Sim;Sim;Sim;Sim;URA Inclusão de promo voucher;80;Sim;;
Iniciativa;1;Sim;Sim;Sim;Sim;URA Listagem de promo voucher ativa por placa;80;Sim;;
Iniciativa;2;Não;Sim;Sim;Sim;BOT Inclusão Veículo V2;80;Sim;;
Iniciativa;2;Não;Sim;Sim;Sim;BOT CSAT ;40;Sim;;
Iniciativa;1;Sim;Sim;Sim;Sim;BOT Contestação SVA;160;Sim;;
Iniciativa;2;Não;Sim;Sim;Sim;BOT Status Entrega TAG;80;Sim;;
Iniciativa;2;Não;Sim;Sim;Sim;BOT Retorno Bancário ;160;Sim;;
Iniciativa;2;Não;Não;Sim;Sim;BOT Direcionamento Menu;40;Sim;;
Discovery;3;Sim;Sim;Sim;Sim;URA Formalização Acordo VOZ;80;Sim;;
Discovery;3;Sim;Sim;Sim;Sim;URA Reportar Problema NCU 2;64;Sim;;
Discovery;3;Sim;Sim;Sim;Sim;URA Pix Automático;48;Sim;;
Discovery;3;Sim;Sim;Sim;Sim;BOT Verbalizar Boleto;48;Sim;;
Discovery;3;Sim;Sim;Sim;Sim;BOT  Contato Vazio;48;Sim;;
Discovery;3;Sim;Sim;Sim;Sim;BOT Validar Transbordo;48;Sim;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
